region,changes,Food,Non.food,Health,Education
National,22.7,61.05,20.21,15.61,3.12
Kachin,24.89999999999999,59.48,19.95,16.92,3.65
Kayah,16.799999999999997,62.7,16.92,17.21,3.17
Kayin,26.5,62.56,19.71,14.56,3.17
Chin,14.000000000000007,52.58,22.56,20.8,4.05
Sagaing,26.699999999999996,63.75,16.88,16.68,2.69
Tanintharyi,25.799999999999997,60.96,19.99,15.88,3.17
Bago,19.000000000000004,61.29,19.95,15.55,3.2
Magway,19.6,57.77,17.82,21.04,3.37
Mandalay,26,61.82,21.53,13.69,2.95
Mon,24.900000000000002,61.96,18.36,17.48,2.21
Rakhine,22.699999999999996,62.14,17.99,16.38,3.49
Yangon,29.5,59.99,23.84,13.26,2.91
Shan,17.1,61.73,20.64,14.25,3.38
Ayeyarwady,19.1,61.24,19.14,16.27,3.36
Nay Pyi Taw,18.400000000000002,57.67,21.25,17.48,3.6
